instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,date
1,2011-01-01,1,0,1,0,False,6,1,0.24,0,0.2879,0.81,0.0,3,13,16,2011-01-01
2,2011-01-01,1,0,1,1,False,6,1,0.22,1,0.2727,0.8,0.0,8,32,40,2011-01-01
3,2011-01-01,1,0,1,2,False,6,1,0.22,2,0.2727,0.8,0.0,5,27,32,2011-01-01
4,2011-01-01,1,0,1,3,False,6,1,0.24,3,0.2879,0.75,0.0,3,10,13,2011-01-01
5,2011-01-01,1,0,1,4,False,6,1,0.24,4,0.2879,0.75,0.0,0,1,1,2011-01-01
6,2011-01-01,1,0,1,5,False,6,2,0.24,5,0.2576,0.75,0.0896,0,1,1,2011-01-01
7,2011-01-01,1,0,1,6,False,6,1,0.22,6,0.2727,0.8,0.0,2,0,2,2011-01-01
8,2011-01-01,1,0,1,7,False,6,1,0.2,7,0.2576,0.86,0.0,1,2,3,2011-01-01
9,2011-01-01,1,0,1,8,False,6,1,0.24,8,0.197,0.75,0.0,1,7,8,2011-01-01
10,2011-01-01,1,0,1,9,False,6,1,0.32,9,0.3485,0.76,0.0,8,6,14,2011-01-01
11,2011-01-01,1,0,1,10,False,6,1,0.38,10,0.3939,0.76,0.2537,12,24,36,2011-01-01
12,2011-01-01,1,0,1,11,False,6,1,0.36,11,0.3333,0.81,0.2836,26,30,56,2011-01-01
13,2011-01-01,1,0,1,12,False,6,1,0.42,12,0.4242,0.77,0.2836,29,55,84,2011-01-01
14,2011-01-01,1,0,1,13,False,6,2,0.46,13,0.4545,0.72,0.2985,47,47,94,2011-01-01
15,2011-01-01,1,0,1,14,False,6,2,0.46,14,0.4545,0.72,0.2836,35,71,106,2011-01-01
16,2011-01-01,1,0,1,15,False,6,2,0.44,15,0.4394,0.77,0.2985,40,70,110,2011-01-01
17,2011-01-01,1,0,1,16,False,6,2,0.42,16,0.4242,0.82,0.2985,41,52,93,2011-01-01
18,2011-01-01,1,0,1,17,False,6,2,0.44,17,0.197,0.82,0.2836,15,52,67,2011-01-01
19,2011-01-01,1,0,1,18,False,6,3,0.42,18,0.4242,0.88,0.2537,9,26,35,2011-01-01
20,2011-01-01,1,0,1,19,False,6,3,0.42,19,0.4242,0.88,0.2537,6,31,37,2011-01-01
21,2011-01-01,1,0,1,20,False,6,2,0.4,20,0.4091,0.87,0.2537,11,25,36,2011-01-01
22,2011-01-01,1,0,1,21,False,6,2,0.4,21,0.4091,0.87,0.194,3,31,34,2011-01-01
23,2011-01-01,1,0,1,22,False,6,2,0.4,22,0.4091,0.94,0.2239,11,17,28,2011-01-01
24,2011-01-01,1,0,1,23,False,6,2,0.46,23,0.197,0.88,0.2985,15,24,39,2011-01-01
25,2011-02-01,1,0,1,0,False,0,2,0.46,24,0.4545,0.88,0.2985,4,13,17,2011-02-01
26,2011-02-01,1,0,1,1,False,0,2,0.44,25,0.4394,0.94,0.2537,1,16,17,2011-02-01
27,2011-02-01,1,0,1,2,False,0,2,0.42,26,0.4242,1.0,0.2836,1,8,9,2011-02-01
28,2011-02-01,1,0,1,3,False,0,2,0.46,27,0.4545,0.94,0.194,2,4,6,2011-02-01
29,2011-02-01,1,0,1,4,False,0,2,0.46,28,0.197,0.94,0.194,2,1,3,2011-02-01
30,2011-02-01,1,0,1,6,False,0,3,0.42,29,0.4242,0.77,0.2985,0,2,2,2011-02-01
31,2011-02-01,1,0,1,7,False,0,2,0.4,30,0.4091,0.76,0.194,0,1,1,2011-02-01
32,2011-02-01,1,0,1,8,False,0,3,0.4,31,0.4091,0.71,0.2239,0,8,8,2011-02-01
33,2011-02-01,1,0,1,9,False,0,2,0.38,32,0.197,0.76,0.2239,1,19,20,2011-02-01
34,2011-02-01,1,0,1,10,False,0,2,0.36,33,0.3485,0.81,0.2239,7,46,53,2011-02-01
35,2011-02-01,1,0,1,11,False,0,2,0.36,34,0.3333,0.71,0.2537,16,54,70,2011-02-01
36,2011-02-01,1,0,1,12,False,0,2,0.36,35,0.3333,0.66,0.2985,20,73,93,2011-02-01
37,2011-02-01,1,0,1,13,False,0,2,0.36,36,0.3485,0.66,0.1343,11,64,75,2011-02-01
38,2011-02-01,1,0,1,14,False,0,3,0.36,37,0.197,0.76,0.194,4,55,59,2011-02-01
39,2011-02-01,1,0,1,15,False,0,3,0.34,38,0.3333,0.81,0.1642,19,55,74,2011-02-01
40,2011-02-01,1,0,1,16,False,0,3,0.34,39,0.3333,0.71,0.1642,9,67,76,2011-02-01
41,2011-02-01,1,0,1,17,False,0,1,0.34,40,0.3333,0.57,0.194,7,58,65,2011-02-01
42,2011-02-01,1,0,1,18,False,0,2,0.36,41,0.3333,0.46,0.3284,10,43,53,2011-02-01
43,2011-02-01,1,0,1,19,False,0,1,0.32,42,0.2879,0.42,0.4478,1,29,30,2011-02-01
44,2011-02-01,1,0,1,20,False,0,1,0.3,43,0.197,0.39,0.3582,5,17,22,2011-02-01
45,2011-02-01,1,0,1,21,False,0,1,0.26,44,0.2273,0.44,0.3284,11,20,31,2011-02-01
46,2011-02-01,1,0,1,22,False,0,1,0.24,45,0.2121,0.44,0.2985,0,9,9,2011-02-01
47,2011-02-01,1,0,1,23,False,0,1,0.22,46,0.2273,0.47,0.1642,0,8,8,2011-02-01
48,2011-03-01,1,0,1,0,False,1,1,0.22,47,0.197,0.44,0.3582,0,5,5,2011-03-01
49,2011-03-01,1,0,1,1,False,1,1,0.2,48,0.197,0.44,0.4179,0,2,2,2011-03-01
50,2011-03-01,1,0,1,4,False,1,1,0.16,49,0.1364,0.47,0.3881,0,1,1,2011-03-01
51,2011-03-01,1,0,1,5,False,1,1,0.16,50,0.1364,0.47,0.2836,0,3,3,2011-03-01
52,2011-03-01,1,0,1,6,False,1,1,0.14,51,0.1061,0.5,0.3881,0,30,30,2011-03-01
53,2011-03-01,1,0,1,7,False,1,1,0.14,52,0.1364,0.5,0.194,1,63,64,2011-03-01
54,2011-03-01,1,0,1,8,False,1,1,0.14,53,0.1212,0.5,0.2836,1,153,154,2011-03-01
55,2011-03-01,1,0,1,9,False,1,1,0.16,54,0.1364,0.43,0.3881,7,81,88,2011-03-01
56,2011-03-01,1,0,1,10,False,1,1,0.18,55,0.1667,0.43,0.2537,11,33,44,2011-03-01
57,2011-03-01,1,0,1,11,False,1,1,0.2,56,0.1818,0.4,0.3284,10,41,51,2011-03-01
58,2011-03-01,1,0,1,12,False,1,1,0.22,57,0.2121,0.35,0.2985,13,48,61,2011-03-01
59,2011-03-01,1,0,1,13,False,1,1,0.24,58,0.197,0.35,0.2836,8,53,61,2011-03-01
60,2011-03-01,1,0,1,14,False,1,1,0.26,59,0.2424,0.3,0.2836,11,66,77,2011-03-01
61,2011-03-01,1,0,1,15,False,1,1,0.26,60,0.2424,0.3,0.2537,14,58,72,2011-03-01
62,2011-03-01,1,0,1,16,False,1,1,0.26,61,0.2424,0.3,0.2537,9,67,76,2011-03-01
63,2011-03-01,1,0,1,17,False,1,1,0.24,62,0.2273,0.3,0.2239,11,146,157,2011-03-01
64,2011-03-01,1,0,1,18,False,1,1,0.24,63,0.2576,0.32,0.1045,9,148,157,2011-03-01
65,2011-03-01,1,0,1,19,False,1,1,0.2,64,0.2576,0.47,0.0,8,102,110,2011-03-01
66,2011-03-01,1,0,1,20,False,1,1,0.2,65,0.197,0.47,0.1045,3,49,52,2011-03-01
67,2011-03-01,1,0,1,21,False,1,1,0.18,66,0.197,0.64,0.1343,3,49,52,2011-03-01
68,2011-03-01,1,0,1,22,False,1,1,0.14,67,0.1515,0.69,0.1343,0,20,20,2011-03-01
69,2011-03-01,1,0,1,23,False,1,1,0.18,68,0.2121,0.55,0.1045,1,11,12,2011-03-01
70,2011-04-01,1,0,1,0,False,2,1,0.16,69,0.197,0.55,0.1045,0,5,5,2011-04-01
71,2011-04-01,1,0,1,1,False,2,1,0.16,70,0.1818,0.59,0.1045,0,2,2,2011-04-01
72,2011-04-01,1,0,1,2,False,2,1,0.14,71,0.1515,0.63,0.1343,0,1,1,2011-04-01
73,2011-04-01,1,0,1,4,False,2,1,0.14,72,0.1818,0.63,0.0896,0,2,2,2011-04-01
74,2011-04-01,1,0,1,5,False,2,1,0.12,73,0.1515,0.68,0.1045,0,4,4,2011-04-01
75,2011-04-01,1,0,1,6,False,2,1,0.12,74,0.1515,0.74,0.1045,0,36,36,2011-04-01
76,2011-04-01,1,0,1,7,False,2,1,0.12,75,0.1515,0.74,0.1343,2,92,94,2011-04-01
77,2011-04-01,1,0,1,8,False,2,1,0.14,76,0.1515,0.69,0.1642,2,177,179,2011-04-01
78,2011-04-01,1,0,1,9,False,2,1,0.16,77,0.1515,0.64,0.2239,2,98,100,2011-04-01
79,2011-04-01,1,0,1,10,False,2,2,0.16,78,0.1364,0.69,0.3284,5,37,42,2011-04-01
80,2011-04-01,1,0,1,11,False,2,1,0.22,79,0.2121,0.51,0.2985,7,50,57,2011-04-01
81,2011-04-01,1,0,1,12,False,2,1,0.22,80,0.2273,0.51,0.1642,12,66,78,2011-04-01
82,2011-04-01,1,0,1,13,False,2,1,0.24,81,0.2273,0.56,0.194,18,79,97,2011-04-01
83,2011-04-01,1,0,1,14,False,2,1,0.26,82,0.2576,0.52,0.2239,9,54,63,2011-04-01
84,2011-04-01,1,0,1,15,False,2,1,0.28,83,0.2727,0.52,0.2537,17,48,65,2011-04-01
85,2011-04-01,1,0,1,16,False,2,1,0.3,84,0.2879,0.49,0.2537,15,68,83,2011-04-01
86,2011-04-01,1,0,1,17,False,2,1,0.28,85,0.2727,0.48,0.2239,10,202,212,2011-04-01
87,2011-04-01,1,0,1,18,False,2,1,0.26,86,0.2576,0.48,0.194,3,179,182,2011-04-01
88,2011-04-01,1,0,1,19,False,2,1,0.24,87,0.2576,0.48,0.1045,2,110,112,2011-04-01
89,2011-04-01,1,0,1,20,False,2,1,0.24,88,0.2576,0.48,0.1045,1,53,54,2011-04-01
90,2011-04-01,1,0,1,21,False,2,1,0.22,89,0.2727,0.64,0.0,0,48,48,2011-04-01
91,2011-04-01,1,0,1,22,False,2,1,0.22,90,0.2576,0.64,0.0896,1,34,35,2011-04-01
92,2011-04-01,1,0,1,23,False,2,1,0.2,91,0.2273,0.69,0.0896,2,9,11,2011-04-01
93,2011-05-01,1,0,1,0,False,3,1,0.2,92,0.2576,0.64,0.0,0,6,6,2011-05-01
94,2011-05-01,1,0,1,1,False,3,1,0.16,93,0.197,0.74,0.0896,0,6,6,2011-05-01
95,2011-05-01,1,0,1,2,False,3,1,0.16,94,0.197,0.74,0.0896,0,2,2,2011-05-01
96,2011-05-01,1,0,1,4,False,3,1,0.24,95,0.2273,0.48,0.2239,0,2,2,2011-05-01
97,2011-05-01,1,0,1,5,False,3,1,0.22,96,0.2273,0.47,0.1642,0,3,3,2011-05-01
98,2011-05-01,1,0,1,6,False,3,1,0.2,97,0.197,0.47,0.2239,0,33,33,2011-05-01
99,2011-05-01,1,0,1,7,False,3,1,0.18,98,0.1818,0.43,0.194,1,87,88,2011-05-01
100,2011-05-01,1,0,1,8,False,3,1,0.2,99,0.1818,0.4,0.2985,3,192,195,2011-05-01
101,2011-05-01,1,0,1,9,False,3,1,0.22,100,0.197,0.37,0.3284,6,109,115,2011-05-01
102,2011-05-01,1,0,1,10,False,3,1,0.22,101,0.197,0.37,0.3284,4,53,57,2011-05-01
103,2011-05-01,1,0,1,11,False,3,1,0.26,102,0.2273,0.33,0.3284,12,34,46,2011-05-01
104,2011-05-01,1,0,1,12,False,3,1,0.26,103,0.2273,0.33,0.3284,5,74,79,2011-05-01
105,2011-05-01,1,0,1,13,False,3,1,0.28,104,0.2576,0.3,0.2985,6,65,71,2011-05-01
106,2011-05-01,1,0,1,14,False,3,1,0.3,105,0.2879,0.28,0.194,10,52,62,2011-05-01
107,2011-05-01,1,0,1,15,False,3,1,0.3,106,0.2879,0.28,0.194,7,55,62,2011-05-01
108,2011-05-01,1,0,1,16,False,3,1,0.3,107,0.3182,0.28,0.0896,4,85,89,2011-05-01
109,2011-05-01,1,0,1,17,False,3,1,0.24,108,0.2273,0.38,0.194,4,186,190,2011-05-01
110,2011-05-01,1,0,1,18,False,3,1,0.24,109,0.2424,0.38,0.1343,3,166,169,2011-05-01
111,2011-05-01,1,0,1,19,False,3,1,0.24,110,0.2576,0.38,0.1045,5,127,132,2011-05-01
112,2011-05-01,1,0,1,20,False,3,1,0.22,111,0.2273,0.47,0.1642,7,82,89,2011-05-01
113,2011-05-01,1,0,1,21,False,3,1,0.2,112,0.197,0.51,0.194,3,40,43,2011-05-01
114,2011-05-01,1,0,1,22,False,3,1,0.18,113,0.197,0.55,0.1343,1,41,42,2011-05-01
115,2011-05-01,1,0,1,23,False,3,1,0.2,114,0.2576,0.47,0.0,1,18,19,2011-05-01
116,2011-06-01,1,0,1,0,False,4,1,0.18,115,0.2424,0.55,0.0,0,11,11,2011-06-01
117,2011-06-01,1,0,1,1,False,4,1,0.16,116,0.2273,0.64,0.0,0,4,4,2011-06-01
118,2011-06-01,1,0,1,2,False,4,1,0.16,117,0.2273,0.64,0.0,0,2,2,2011-06-01
119,2011-06-01,1,0,1,4,False,4,2,0.16,118,0.197,0.64,0.0896,0,1,1,2011-06-01
120,2011-06-01,1,0,1,5,False,4,2,0.14,119,0.1818,0.69,0.0896,0,4,4,2011-06-01
121,2011-06-01,1,0,1,6,False,4,2,0.14,120,0.1667,0.63,0.1045,0,36,36,2011-06-01
122,2011-06-01,1,0,1,7,False,4,2,0.16,121,0.2273,0.59,0.0,0,95,95,2011-06-01
123,2011-06-01,1,0,1,8,False,4,1,0.16,122,0.2273,0.59,0.0,3,216,219,2011-06-01
124,2011-06-01,1,0,1,9,False,4,2,0.18,123,0.2424,0.51,0.0,6,116,122,2011-06-01
125,2011-06-01,1,0,1,10,False,4,1,0.2,124,0.2576,0.47,0.0,3,42,45,2011-06-01
126,2011-06-01,1,0,1,11,False,4,1,0.22,125,0.2576,0.44,0.0896,2,57,59,2011-06-01
127,2011-06-01,1,0,1,12,False,4,1,0.26,126,0.2879,0.35,0.0,6,78,84,2011-06-01
128,2011-06-01,1,0,1,13,False,4,1,0.26,127,0.2727,0.35,0.1045,12,55,67,2011-06-01
129,2011-06-01,1,0,1,14,False,4,1,0.28,128,0.2727,0.36,0.1642,11,59,70,2011-06-01
130,2011-06-01,1,0,1,15,False,4,1,0.28,129,0.2727,0.36,0.0,8,54,62,2011-06-01
131,2011-06-01,1,0,1,16,False,4,1,0.26,130,0.2576,0.38,0.1642,12,74,86,2011-06-01
132,2011-06-01,1,0,1,17,False,4,1,0.22,131,0.2273,0.51,0.1642,9,163,172,2011-06-01
133,2011-06-01,1,0,1,18,False,4,1,0.22,132,0.2273,0.51,0.1343,5,158,163,2011-06-01
134,2011-06-01,1,0,1,19,False,4,1,0.22,133,0.2576,0.55,0.0896,3,109,112,2011-06-01
135,2011-06-01,1,0,1,20,False,4,1,0.2,134,0.2121,0.51,0.1642,3,66,69,2011-06-01
136,2011-06-01,1,0,1,21,False,4,2,0.22,135,0.2121,0.55,0.2239,0,48,48,2011-06-01
137,2011-06-01,1,0,1,22,False,4,2,0.22,136,0.2121,0.51,0.2836,1,51,52,2011-06-01
138,2011-06-01,1,0,1,23,False,4,2,0.2,137,0.197,0.59,0.194,4,19,23,2011-06-01
139,2011-07-01,1,0,1,0,False,5,2,0.2,138,0.197,0.64,0.194,4,13,17,2011-07-01
140,2011-07-01,1,0,1,1,False,5,2,0.2,139,0.197,0.69,0.2239,2,5,7,2011-07-01
141,2011-07-01,1,0,1,2,False,5,2,0.2,140,0.197,0.69,0.2239,0,1,1,2011-07-01
142,2011-07-01,1,0,1,4,False,5,2,0.2,141,0.2121,0.69,0.1343,0,1,1,2011-07-01
143,2011-07-01,1,0,1,5,False,5,3,0.22,142,0.2727,0.55,0.0,0,5,5,2011-07-01
144,2011-07-01,1,0,1,6,False,5,2,0.2,143,0.2576,0.69,0.0,8,26,34,2011-07-01
145,2011-07-01,1,0,1,7,False,5,1,0.2,144,0.2121,0.69,0.1343,8,76,84,2011-07-01
146,2011-07-01,1,0,1,8,False,5,1,0.2,145,0.197,0.51,0.2537,20,190,210,2011-07-01
147,2011-07-01,1,0,1,9,False,5,1,0.2,146,0.1818,0.47,0.2985,9,125,134,2011-07-01
148,2011-07-01,1,0,1,10,False,5,1,0.22,147,0.197,0.37,0.3284,16,47,63,2011-07-01
149,2011-07-01,1,0,1,11,False,5,2,0.2,148,0.197,0.4,0.2239,19,48,67,2011-07-01
150,2011-07-01,1,0,1,12,False,5,2,0.2,149,0.197,0.37,0.2537,9,50,59,2011-07-01
151,2011-07-01,1,0,1,13,False,5,2,0.2,150,0.1818,0.37,0.2836,9,64,73,2011-07-01
152,2011-07-01,1,0,1,14,False,5,2,0.2,151,0.197,0.4,0.2537,7,43,50,2011-07-01
153,2011-07-01,1,0,1,15,False,5,2,0.2,152,0.2121,0.37,0.1642,9,63,72,2011-07-01
154,2011-07-01,1,0,1,16,False,5,2,0.2,153,0.2121,0.37,0.1642,5,82,87,2011-07-01
155,2011-07-01,1,0,1,17,False,5,2,0.2,154,0.2576,0.37,0.0,9,178,187,2011-07-01
156,2011-07-01,1,0,1,18,False,5,1,0.2,155,0.2273,0.4,0.0896,7,116,123,2011-07-01
157,2011-07-01,1,0,1,19,False,5,1,0.16,156,0.197,0.55,0.0896,3,92,95,2011-07-01
158,2011-07-01,1,0,1,20,False,5,1,0.18,157,0.2121,0.47,0.1045,1,50,51,2011-07-01
159,2011-07-01,1,0,1,21,False,5,1,0.18,158,0.197,0.47,0.1343,0,39,39,2011-07-01
160,2011-07-01,1,0,1,22,False,5,2,0.18,159,0.197,0.43,0.1642,2,34,36,2011-07-01
161,2011-07-01,1,0,1,23,False,5,2,0.18,160,0.197,0.51,0.1642,1,14,15,2011-07-01
162,2011-08-01,1,0,1,0,False,6,2,0.18,161,0.197,0.51,0.1642,1,24,25,2011-08-01
163,2011-08-01,1,0,1,1,False,6,2,0.18,162,0.2121,0.55,0.0896,1,15,16,2011-08-01
164,2011-08-01,1,0,1,2,False,6,2,0.18,163,0.2424,0.55,0.0,3,13,16,2011-08-01
165,2011-08-01,1,0,1,3,False,6,3,0.18,164,0.197,0.55,0.1642,0,7,7,2011-08-01
166,2011-08-01,1,0,1,4,False,6,3,0.18,165,0.197,0.55,0.1642,0,1,1,2011-08-01
167,2011-08-01,1,0,1,5,False,6,2,0.16,166,0.1667,0.74,0.1642,0,5,5,2011-08-01
168,2011-08-01,1,0,1,6,False,6,2,0.16,167,0.1667,0.74,0.1642,0,2,2,2011-08-01
169,2011-08-01,1,0,1,7,False,6,2,0.16,168,0.1818,0.74,0.1045,1,8,9,2011-08-01
170,2011-08-01,1,0,1,8,False,6,3,0.16,169,0.1818,0.93,0.1045,0,15,15,2011-08-01
171,2011-08-01,1,0,1,9,False,6,3,0.16,170,0.1818,0.93,0.1045,0,20,20,2011-08-01
172,2011-08-01,1,0,1,10,False,6,2,0.18,171,0.197,0.8,0.1642,5,56,61,2011-08-01
173,2011-08-01,1,0,1,11,False,6,2,0.2,172,0.1818,0.69,0.3881,2,60,62,2011-08-01
174,2011-08-01,1,0,1,12,False,6,2,0.2,173,0.1818,0.59,0.3582,8,90,98,2011-08-01
175,2011-08-01,1,0,1,13,False,6,1,0.2,174,0.1818,0.44,0.3284,7,95,102,2011-08-01
176,2011-08-01,1,0,1,14,False,6,1,0.2,175,0.1667,0.32,0.4925,12,83,95,2011-08-01
